product_id,name,price,capital
3,104 UC,18000,17400
3,156 UC,27000,26100
3,263 UC,45000,43500
3,525 UC,90000,87000
3,681 UC,117000,113100
3,788 UC,135000,130500
3,1050 UC,180000,174000
3,1375 UC,225000,217500
3,1638 UC,270000,261000
3,1900 UC,315000,304500
3,2163 UC,360000,348000
3,2425 UC,405000,391500
3,2875 UC,450000,435000
3,3400 UC,540000,522000
3,4250 UC,675000,652500
3,4406 UC,702000,678600
3,5750 UC,900000,870000
3,6800 UC,1080000,1044000
3,8625 UC,1350000,1305000
3,9150 UC,1440000,1392000
4,60 GC,12500,12200
4,330 GC,62000,61000
4,1090 GC,186000,183000
4,2240 GC,403000,396500
4,3880 GC,620000,610000
4,8080 GC,1240000,1220000
4,Monthly Blessing,62000,61000
5,125 VP,15000,13920
5,420 VP,50000,47850
5,700 VP,80000,76560
5,1375 VP,150000,143550
5,2400 VP,250000,239250
5,4000 VP,400000,382800
5,8150 VP,800000,765600
6,125 WC,15000,13920
6,420 WC,50000,47850
6,700 WC,80000,76560
6,1375 WC,150000,143550
6,2400 WC,250000,239250
6,4000 WC,400000,382800
6,8150 WC,800000,765600
7,69 CP,9500,0
7,139 CP,19000,0
7,348 CP,47000,0
7,417 CP,56500,0
7,487 CP,66000,0
7,698 CP,94000,0
7,864 CP,112500,0
7,1046 CP,141000,0
7,1532 CP,188000,0
7,1896 CP,235000,0
7,2298 CP,282000,0
7,3061 CP,357000,0
7,3960 CP,470000,0
7,5492 CP,658000,0
7,6221 CP,687000,0
7,8448 CP,935000,0
7,9980 CP,1125000,0
7,10746 CP,1215000,0
7,12408 CP,1405000,0
7,16896 CP,1870000,0
8,40 Voucher,9500,0
8,90 Voucher,19000,0
8,230 Voucher,47000,0
8,270 Voucher,56500,0
8,320 Voucher,66500,0
8,470 Voucher,94000,0
8,700 Voucher,141000,0
8,950 Voucher,188000,0
8,1180 Voucher,235000,0
8,1430 Voucher,282000,0
8,1900 Voucher,376000,0
8,2390 Voucher,470000,0
8,3340 Voucher,658000,0
8,3820 Voucher,752000,0
8,4800 Voucher,935000,0
8,5750 Voucher,1125000,0
8,6230 Voucher,1215000,0
9,60 Candy,12100,12090
9,180 Candy,40000,39990
9,316 Candy,615000,61690
9,718 Candy,123500,123690
9,1368 Candy,247500,247690
9,2118 Candy,402500,402690
9,3548 Candy,619500,619690
9,7048 Candy,1239000,1239690
